Category,Region,Item,Continent,# Prolific Workers,Wikimedia_Category,Global North/South
Christmas_food,Austria,Vanillekipferl,Europe,342,Vanillekipferl,Global North
Christmas_food,Denmark,Havregrynskugler,Europe,195,Chokladbollar,Global North
Christmas_food,France,Bredele,Europe,1653,Bredele,Global North
Christmas_food,Australia,White Christmas slice,Oceania,3219,White Christmas \(food\),Global North
Christmas_food,Argentina,Panettone,South_America,89,Panettone,Global South
Christmas_food,Indonesia,Kue nastar,Asia,228,Pineapple tart,Global South
Christmas_food,Colombia,Hojuelas,South_America,159,Hojuelas,Global South
Christmas_food,Philippines,Puto bumbong,Asia,650,Puto bumbong,Global South
Christmas_food,United States,Gingerbread house,North_America,78134,Gingerbread houses in the United States,Global North
Christmas_food,Portugal,Bolo rei,Europe,3610,Bolo rei,Global North
New_Year_celebration,Vietnam,Tết,Asia,395,Tết,Global South
New_Year_celebration,India,Dipavali,Asia,1218,Dipavali in India,Global South
New_Year_celebration,Korea,Seollal,Asia,275,Seollal,Global North
New_Year_celebration,Colombia,Quema de años viejos,South_America,159,Quema de años viejos,Global South
New_Year_celebration,Iran,Nowruz,Asia,173,Nowruz,Global South
New_Year_celebration,Switzerland,Silvesterklaus,Europe,208,Silvesterklaus,Global North
New_Year_celebration,China,Chūnjié,Asia,632,Chinese New Year,Global South
New_Year_celebration,United States,Times Square Ball,North_America,78134,Times Square Ball 2012-13,Global North
New_Year_celebration,Nigeria,Lagos Countdown,Africa,1286,Lagos Countdown,Global South
New_Year_celebration,United Kingdom,Hogmanay,Europe,43387,Hogmanay,Global North
Harvest_festival,Poland,Dożynki,Europe,3813,Dozhinki in Poland,Global North
Harvest_festival,Korea,Chuseok,Asia,275,Chuseok,Global North
Harvest_festival,Indonesia,Pacu jawi,Asia,228,Pacu jawi,Global South
Harvest_festival,Austria,Erntedankfest,Europe,342,Erntedankfest in Austria,Global North
Harvest_festival,India,Makar Sankranti,Asia,1218,Makar Sankranti,Global South
Harvest_festival,United States,Thanksgiving,North_America,78134,Thanksgiving in California,Global North
Harvest_festival,Nigeria,Iwa Ji,Africa,1286,New Yam Festival,Global South
Harvest_festival,Iran,Mehregan,Asia,173,Mehregan,Global South
Harvest_festival,Peru,Pukllay,South_America,68,Pukllay de Andahuaylas,Global South
Harvest_festival,Brazil,Festa da Uva,South_America,503,Festa da Uva \(Caxias do Sul\);Category:Festa_da_Uva_\(Jundiaí\),Global South
Spring_festival,India,Holi,Asia,1218,Holi,Global South
Spring_festival,Japan,Hanami,Asia,169,Hanami,Global North
Spring_festival,Germany,Buergbrennen,Europe,4106,Burgbrennen,Global North
Spring_festival,Ghana,Homowo,Africa,198,Homowo,Global South
Spring_festival,China,Qingming Festival,Asia,632,Qingming Festival in Taiwan,Global South
Spring_festival,Italy,Scoppio del Carro,Europe,3212,Scoppio del carro,Global North
Spring_festival,Switzerland,Sechseläuten,Europe,208,Sechseläuten,Global North
Spring_festival,Bangladesh,Shakrain,Asia,162,Shakrain Festival,Global South
Spring_festival,United States,Easter,North_America,78134,Easter in Texas,Global North
Spring_festival,Peru,Festival de la Primavera,South_America,68,Trujillo Spring Festival,Global South
Carnival,Australia,Sydney Mardi Gras,Oceania,3219,Sydney Mardi Gras 2012,Global North
Carnival,Belgium,Carnaval de Binche,South_America,409,Carnival of Binche,Global North
Carnival,Brazil,Blocos carnavalescos de São Paulo,South_America,503,Blocos carnavalescos de São Paulo,Global South
Carnival,Canada,Carnaval de Québec,North_America,5791,Carnaval de Québec,Global North
Carnival,Colombia,Carnaval de Barranquilla,South_America,159,Carnaval de Barranquilla,Global South
Carnival,Italy,Carnevale di Venezia,Europe,3212,Carnival of Venice 2011,Global North
Carnival,Indonesia,Sinulog,Asia,228,Sinulog Festival,Global South
Carnival,Nigeria,Jos Carnival,Africa,1286,Jos Carnival,Global South
Carnival,South Africa,Kaapse Klopse,Africa,10916,Kaapse Klopse,Global South
Carnival,Zimbabwe,Harare Carnival,Africa,803,Harare Carnival,Global South
