Category,Region,Item,Continent,# Prolific Workers,Wikimedia_Category,Global North/South
Embroidery,Ukraine,Rushnyk,Europe,215,Ukrainian rushnyk,Global South
Embroidery,China,Gunlongpao,Asia,632,Dragon robe,Global South
Embroidery,India,Chikan embroidery,Asia,1218,Chikan \(embroidery\),Global South
Embroidery,Pakistan,Baloch needlework,Asia,320,Baloch needlework,Global South
Embroidery,Mexico,Tenango embroidery,North_America,2669,Tenango embroidery,Global South
Embroidery,Russia,Chuvash embroidery,Europe,235,Chuvash embroidery,Global South
Embroidery,Vietnam,Hmong textile art,Asia,395,Hmong textile art,Global South
Embroidery,Ghana,Kente,Africa,198,Kente \(Bonwire\),Global South
Embroidery,Egypt,Tiraz,Africa,241,Tiraz of Egypt in the Cleveland Museum of Art,Global South
Embroidery,Peru,Lliclla,South_America,68,Lliclla,Global South
Hat,China,Nuanmao,Asia,632,Nuanmao,Global South
Hat,Ecuador,Toquilla,South_America,46,Panama hats,Global South
Hat,Finland,Sami headwear,Europe,251,Sami headwear,Global North
Hat,Poland,Rogatywka,Europe,3813,Rogatywka,Global North
Hat,Morocco,Fez,Africa,137,Fezzes,Global South
Hat,Indonesia,Songkok,Asia,228,Songkok,Global South
Hat,Mexico,Sombrero,North_America,2669,Sombreros,Global South
Hat,Philippines,Salakot,Asia,650,Salakot,Global South
Hat,Vietnam,Ba tầm,Asia,395,Ba tầm,Global South
Hat,United States,Cowboy hat,North_America,78134,Cowboy hats,Global North
Jewellery,Morocco,Berber jewellery,Africa,137,Berber jewellery,Global South
Jewellery,Sweden,Thor's hammer amulet,Europe,688,"Thor\'s hammer from Kurck\'s collection, Skåne",Global North
Jewellery,Ukraine,Namysto,Europe,215,Korali,Global South
Jewellery,Japan,Tamasay,Asia,169,Tamasay,Global North
Jewellery,India,Bangles,Asia,1218,Bangles in India,Global South
Jewellery,United States,Grills jewellery,North_America,78134,Grills \(jewellery\),Global North
Jewellery,Netherlands,Oorijzers,Europe,1715,Oorijzers,Global North
Jewellery,Greece,Mycenaean gold rings,Europe,1111,Mycenaean gold rings in the National Archaeological Museum of Athens,Global North
Jewellery,Brazil,Pulseira,South_America,503,Bracelets of Brazil,Global South
Jewellery,Mexico,Aztec jewellery,North_America,2669,Aztec jewellery in Museo del Templo Mayor,Global South
Traditional_clothing,Bangladesh,Hajong Argon,Asia,162,Argon \(clothing\),Global South
Traditional_clothing,Croatia,Opanci,Europe,216,Opanci,Global North
Traditional_clothing,France,Coiffes bretonnes,Europe,1653,Coiffes bretonnes,Global North
Traditional_clothing,Japan,Kimono,Asia,169,Kimono,Global North
Traditional_clothing,Korea,Hanbok,Asia,275,Hanbok,Global North
Traditional_clothing,Mexico,Guayaberas,North_America,2669,Guayaberas,Global South
Traditional_clothing,Morocco,Caftan,Africa,137,Caftan of Morocco,Global South
Traditional_clothing,Norway,Hardangerbunad,Europe,279,Hardangerbunad,Global North
Traditional_clothing,Slovakia,Kroje,Europe,134,Kroje,Global North
Traditional_clothing,Finland,Karelian costume,Europe,251,Karelian costume,Global North
Traditional_clothing,Algeria,Melhfa,Africa,57,Melhfa,Global South
Traditional_clothing,Austria,Lederhosen,Europe,342,Lederhosen,Global North
Traditional_clothing,China,Aoqun,Asia,632,Aoqun,Global South
Traditional_clothing,Ghana,Pagne kita,Africa,198,Pagne kita,Global South
Traditional_clothing,India,Lehenga,Asia,1218,Lehenga,Global South
Traditional_clothing,Indonesia,Kebaya,Asia,228,Kebaya,Global South
Traditional_clothing,United Kingdom,Highland dress,Europe,43387,Highland dress,Global North
Traditional_clothing,Peru,Aguayo cloth,South_America,68,Aguayo,Global South
Traditional_clothing,Tunisia,Sefsari,Africa,49,Sefseri,Global South
Traditional_clothing,Turkey,Yashmak,Asia,923,Yashmak,Global South
