Category,Region,Time,Item,Continent,Wikimedia_Category,# Prolific Workers,Global North/South
Politician,Indonesia,20th-century,Joko Widodo,Asia,Portraits of Joko Widodo,228,Global South
Musician,Indonesia,20th-century,Anggun,Asia,Anggun in 2012;Anggun in 2011;Anggun in 2016,228,Global South
Musician,Indonesia,20th-century,Agnes Monica,Asia,Agnes Monica,228,Global South
Writer,Indonesia,20th-century,Okky Madasari,Asia,Okky Madasari,228,Global South
Sportsperson,Indonesia,20th-century,Taufik Hidayat,Asia,Taufik Hidayat,228,Global South
Sportsperson,Egypt,20th-century,Mohamed Salah,Africa,Mohamed Salah,241,Global South
Actor,Egypt,20th-century,Omar Sharif,Africa,Omar Sharif,241,Global South
Musician,Egypt,20th-century,Umm Kulthum,Africa,Umm Kulthum,241,Global South
Activist,Egypt,20th-century,Nawal El Saadawi,Africa,Nawal El Saadawi,241,Global South
Musician,Egypt,20th-century,Amr Diab,Africa,Amr Diab,241,Global South
Activist,Pakistan,20th-century,Malala Yousafzai,Asia,Malala Yousafzai in 2014,320,Global South
Politician,Pakistan,20th-century,Imran Khan,Asia,Imran Khan \(politician\),320,Global South
Politician,Pakistan,20th-century,Benazir Bhutto,Asia,Benazir Bhutto,320,Global South
Actor,Pakistan,20th-century,Fawad Khan,Asia,Fawad Khan,320,Global South
Activist,Pakistan,20th-century,Asma Jahangir,Asia,Asma Jahangir,320,Global South
Actor,China,20th-century,Jackie Chan,Asia,Jackie Chan in 2012,632,Global South
Sportsperson,China,20th-century,Yao Ming,Asia,Yao Ming in 2006,632,Global South
Actor,China,20th-century,Zhang Ziyi,Asia,Zhang Ziyi in 2014,632,Global South
Musician,China,20th-century,Lang Lang,Asia,Lang Lang,632,Global South
Sportsperson,China,20th-century,Ma Long,Asia,Ma Long,632,Global South
Sportsperson,Philippines,20th-century,Manny Pacquiao,Asia,Manny Pacquiao,650,Global South
Musician,Philippines,20th-century,Lea Salonga,Asia,Lea Salonga,650,Global South
Politician,Philippines,20th-century,Imelda Marcos,Asia,Imelda Marcos,650,Global South
Actor,Philippines,20th-century,Daniel Padilla,Asia,Daniel Padilla in 2016,650,Global South
Musician,Philippines,20th-century,Charice Pempengco,Asia,Jake Zyrus,650,Global South
Politician,Chile,20th-century,Michelle Bachelet,South_America,Michelle Bachelet in 2012,745,Global South
Writer,Chile,20th-century,Pablo Neruda,South_America,Portraits of Pablo Neruda,745,Global South
Writer,Chile,20th-century,Isabel Allende,South_America,Isabel Allende,745,Global South
Sportsperson,Chile,20th-century,Erika Olivera,South_America,Erika Olivera,745,Global South
Filmmaker,Chile,20th-century,Alejandro Jodorowsky,South_America,Alejandro Jodorowsky,745,Global South
Writer,Nigeria,20th-century,Chimamanda Ngozi Adichie,Africa,Chimamanda Ngozi Adichie,1286,Global South
Writer,Nigeria,20th-century,Wole Soyinka,Africa,Wole Soyinka,1286,Global South
Politician,Nigeria,20th-century,Ngozi Okonjo-Iweala,Africa,Ngozi Okonjo-Iweala,1286,Global South
Musician,Nigeria,20th-century,Femi Kuti,Africa,Femi Kuti,1286,Global South
Musician,Nigeria,20th-century,Yemi Alade,Africa,Yemi Alade,1286,Global South
Actor,Spain,20th-century,Penélope Cruz,Europe,Penélope Cruz in 2018;Penélope Cruz in 2008,1940,Global North
Sportsperson,Spain,20th-century,Rafael Nadal,Europe,Rafael Nadal in 2011,1940,Global North
Filmmaker,Spain,20th-century,Pedro Almodóvar,Europe,Pedro Almodóvar,1940,Global North
Actor,Spain,20th-century,Antonio Banderas,Europe,Antonio Banderas in 2011,1940,Global North
Sportsperson,Spain,20th-century,Pau Gasol,Europe,Pau Gasol in 2008;Pau Gasol in 2010;Pau Gasol in 2014,1940,Global North
Musician,United Kingdom,20th-century,David Gilmour,Europe,David Gilmour,43387,Global North
Sportsperson,United Kingdom,20th-century,Lewis Hamilton,Europe,Lewis Hamilton in 2014;Lewis Hamilton in 2020,43387,Global North
Filmmaker,United Kingdom,20th-century,Alfred Hitchcock,Europe,Alfred Hitchcock in 1955;Alfred Hitchcock in 1963,43387,Global North
Politician,United Kingdom,20th-century,Margaret Thatcher,Europe,Margaret Thatcher in 1986;Margaret Thatcher in 1979,43387,Global North
Actor,United Kingdom,20th-century,Judi Dench,Europe,Judi Dench,43387,Global North
Politician,United States,20th-century,Barack Obama,North_America,Barack Obama smiling,78134,Global North
Actor,United States,20th-century,Oprah Winfrey,North_America,Oprah Winfrey in 2011;Oprah Winfrey in 2023,78134,Global North
Musician,United States,20th-century,Michael Jackson,North_America,Michael Jackson in 1988;Michael Jackson in 1992;Michael Jackson in 2003;Michael Jackson in 1983;Michael Jackson in 1984,78134,Global North
Sportsperson,United States,20th-century,Serena Williams,North_America,Serena Williams in 2012;Serena Williams in 2016,78134,Global North
Filmmaker,United States,20th-century,George Lucas,North_America,George Lucas in 1986;George Lucas in 2006;George Lucas in 2009,78134,Global North
